Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/,85481,327,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4260,62035,278,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/other/,59149,276,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/,59722,280,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/transfer/,61238,282,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5719,59841,278,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=saks%2Binstitute,61360,276,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/tours/,84351,278,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=class%2Bprofile,61371,276,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/lsac/lsacDiversityInitiatives.cfm,65387,287,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=application%2Bstatus,61360,276,text/html; charset=UTF-8
http://gould.usc.edu/students/university-services/,59317,283,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/contact.cfm,61093,283,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=events,61364,276,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=academic%2Bcalendar,61379,276,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/living/,59922,277,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=dual%2Bdegrees,61376,275,text/html; charset=UTF-8
http://gould.usc.edu/press/,80973,346,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/employment-statistics/,60756,282,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/,87548,427,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/vip/,62320,284,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/history/,59469,275,text/html; charset=UTF-8
http://gould.usc.edu/press/faculty/,288511,526,text/html; charset=UTF-8
http://gould.usc.edu/press/social/facebook/,64643,297,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/,60211,276,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/first-year-curriculum/,63554,275,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/request.cfm,389164,289,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/,64612,284,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/events/,89109,298,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=cost%2Bof%2Battendance,61378,275,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/grading-system/,61897,276,text/html; charset=UTF-8
