Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/,85983,328,text/html; charset=UTF-8
http://gould.usc.edu/students/disability-student-services/,62339,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=625,72546,334,text/html; charset=UTF-8
http://gould.usc.edu/about/history/public-interest/,62485,281,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/,63812,298,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/curriculum/,64297,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/dual-degree-programs/,79227,294,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/entertainmentLaw.cfm,60373,282,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=dual%2Bdegrees,62244,280,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4269,64135,283,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=library%2Bhours,62273,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/jd-study-abroad/,60540,280,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=cost%2Bof%2Battendance,62286,281,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4260,62937,283,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=635,72737,334,text/html; charset=UTF-8
http://gould.usc.edu/search/,62284,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/state-bar-examinations/,61309,285,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/,88450,432,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/directions/,60564,283,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/,60620,285,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=630,72491,334,text/html; charset=UTF-8
http://gould.usc.edu/students/university-services/,60167,288,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=transfer%2Bstudents,62284,280,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/information-sessions/,59599,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=505,72453,334,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/tours/,83892,283,text/html; charset=UTF-8
http://gould.usc.edu/students/student-organizations/,63761,317,text/html; charset=UTF-8
http://gould.usc.edu/press/social/facebook/,65547,302,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/other/,60046,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/request.cfm,390079,294,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/classes.cfm,65680,296,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/international.cfm,68420,293,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/lsac/lsacDiversityInitiatives.cfm,66282,292,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=events,62244,280,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/transfer/,62308,287,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/living/,60792,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=700,72606,334,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/vip/,63316,289,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=saks%2Binstitute,62214,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/events/,90139,303,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/contact.cfm,62099,288,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/Aid.cfm,70077,290,text/html; charset=UTF-8
http://gould.usc.edu/logingip.cfm,10561,16,text/html; charset=UTF-8
http://gould.usc.edu/faculty/scholarship/,68981,287,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/employment-statistics/,61636,287,text/html; charset=UTF-8
http://gould.usc.edu/press/,84986,361,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/history/,60343,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=702,72585,334,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/grading-system/,62811,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/first-year-curriculum/,64440,280,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/directions/,60703,283,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/,61103,281,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/faculty-and-administrators/,63586,280,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/llm/appinfo.cfm,78690,308,text/html; charset=UTF-8
http://gould.usc.edu/about/class-profile/,58826,281,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/,65998,289,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/attractions/,70752,396,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5352,59861,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=701,72552,334,text/html; charset=UTF-8
http://gould.usc.edu/academics/business-law-program/,66750,295,text/html; charset=UTF-8
http://gould.usc.edu/about/board/,65396,281,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/earlydecision.cfm,63031,280,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/recruitingSchedule.cfm,64946,290,text/html; charset=UTF-8
http://gould.usc.edu/students/public-service/,62782,287,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/fees.cfm,64025,296,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/overview/,62003,280,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/class-profile/,60516,281,text/html; charset=UTF-8
http://gould.usc.edu/giving/counsel.cfm,66319,286,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=704,72268,333,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/studyabroad.cfm,68931,299,text/html; charset=UTF-8
http://gould.usc.edu/faculty/distinctions/,90687,323,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/bio.cfm,69156,291,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/withdrawal-tuition-refund-policy/,62437,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/,70668,312,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/housing.cfm,66781,308,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/finaid/apply.cfm,66717,292,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/adr/,70707,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/faculty/,88768,370,text/html; charset=UTF-8
http://gould.usc.edu/press/advisories/,71012,300,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/contact/,68145,287,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=703,72530,334,text/html; charset=UTF-8
http://gould.usc.edu/library/services/access.cfm,59815,283,text/html; charset=UTF-8
http://gould.usc.edu/students/first-generation-professionals/,61740,289,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/testimonials.cfm,66842,302,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-enrollment-and-ethnicity/,68219,280,text/html; charset=UTF-8
http://gould.usc.edu/faculty/news/,315577,557,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=515,72498,334,text/html; charset=UTF-8
http://gould.usc.edu/library/services/interlibrary.cfm,63260,287,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/,68563,291,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=610,72695,334,text/html; charset=UTF-8
http://gould.usc.edu/press/expert/,60953,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/,73089,307,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/,61017,280,text/html; charset=UTF-8
http://gould.usc.edu/faculty/lecturers/,88035,432,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/howToApply.cfm,66430,296,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/,78964,300,text/html; charset=UTF-8
http://gould.usc.edu/careers/reciprocity/,61023,280,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contactinfo.cfm,60183,285,text/html; charset=UTF-8
http://gould.usc.edu/alumni/class-notes/,65885,291,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=academic%2Bcalendar,62283,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/scholars.cfm,71591,310,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/,65200,280,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/faqs/,65376,280,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/,66224,291,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/,65192,287,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/campusFacilities.cfm,62611,297,text/html; charset=UTF-8
http://gould.usc.edu/about/history/women/,60969,281,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/counseling/,63870,280,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdApplication.cfm,67151,296,text/html; charset=UTF-8
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5721,60310,283,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/viewbook/index.html,55339,80,text/html
http://gould.usc.edu/about/community/?id=495,72555,333,text/html; charset=UTF-8
http://gould.usc.edu/about/community/,70511,332,text/html; charset=UTF-8
http://gould.usc.edu/library/services/map/,59726,286,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/2-year/,67498,301,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/index.cfm,63801,285,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/,72035,312,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/arriving.cfm,64835,298,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/classroom/,86213,289,text/html; charset=UTF-8
http://gould.usc.edu/events/,77494,309,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/academic-calendar/,74196,288,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/,62478,283,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=657,72640,334,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/employment/,60489,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/certificates/business/,75169,287,text/html; charset=UTF-8
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/curriculum/,75277,287,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/rothman/details.cfm,66997,290,text/html; charset=UTF-8
http://gould.usc.edu/about/history/,60969,281,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/sle/specialActivities.cfm,62690,297,text/html; charset=UTF-8
http://gould.usc.edu/academics/alternative-dispute-resolution-program/,75819,301,text/html; charset=UTF-8
http://gould.usc.edu/students/students-with-families/,61219,286,text/html; charset=UTF-8
http://gould.usc.edu/why/academics/cle/,67781,314,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=655,72756,334,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/faculty/,88840,370,text/html; charset=UTF-8
http://gould.usc.edu/careers/employers/,60408,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/earlydecision/,65624,291,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/living-expenses/,60956,280,text/html; charset=UTF-8
http://gould.usc.edu/press/social/twitter/,62757,291,text/html; charset=UTF-8
http://gould.usc.edu/careers/contact/,59468,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=640,72577,334,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/onlinemsl/,64253,295,text/html; charset=UTF-8
http://gould.usc.edu/careers/students/,59612,280,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4271,63063,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=645,72390,334,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/transfer-student-data/,62536,280,text/html; charset=UTF-8
http://gould.usc.edu/faculty/workshops/,76657,283,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/tuition-and-fees/,61078,280,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=gpa,62232,280,text/html; charset=UTF-8
http://gould.usc.edu/alumni/contact.cfm,62428,285,text/html; charset=UTF-8
http://gould.usc.edu/press/publications/magazine/,67300,315,text/html; charset=UTF-8
http://gould.usc.edu/library/services/,61344,284,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=575,72663,334,text/html; charset=UTF-8
http://gould.usc.edu/about/history/timeline/,109579,306,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getinvolved/committee.cfm,63138,293,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=565,72384,334,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=class%2Bprofile,62257,280,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/jd-attrition/,62040,280,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=career%2Bservices,62252,280,text/html; charset=UTF-8
http://gould.usc.edu/alumni/getInvolved/committee.cfm,63147,293,text/html; charset=UTF-8
http://gould.usc.edu/how/transfer/transfer.cfm,62442,281,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2006,141607,549,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=664,72607,334,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/juris-doctor-degree-requirements/,60595,280,text/html; charset=UTF-8
http://gould.usc.edu/students/student-services/,63006,280,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/,59914,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=665,72582,334,text/html; charset=UTF-8
http://gould.usc.edu/press/?year=2007,139059,543,text/html; charset=UTF-8
