Successfully Downloaded URL,Size of Downloaded File,Number of Outgoing Links,Content Type
http://gould.usc.edu/,86254,329,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4269,64219,284,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/3-plus-3-program/,69010,293,text/html; charset=UTF-8
http://gould.usc.edu/about/history/public-interest/,62537,282,text/html; charset=UTF-8
http://gould.usc.edu/academics/state-bar-examinations/,61387,286,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/curriculum/,64365,281,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/directions/,60608,284,text/html; charset=UTF-8
http://gould.usc.edu/why/students/orgs/entertainmentLaw.cfm,60425,283,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=degree%2Brequirements,62348,282,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/jdapplication.cfm,67241,297,text/html; charset=UTF-8
http://gould.usc.edu/students/university-services/,60279,289,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=class%2Bprofile,62337,281,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=career%2Bservices,62326,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/request.cfm,390165,295,text/html; charset=UTF-8
http://gould.usc.edu/students/disability-student-services/,62405,283,text/html; charset=UTF-8
http://gould.usc.edu/search/,62340,281,text/html; charset=UTF-8
http://gould.usc.edu/students/student-organizations/,63776,318,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/,88488,433,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/,60670,286,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/jd-study-abroad/,60626,281,text/html; charset=UTF-8
http://gould.usc.edu/how/jd/international.cfm,68436,294,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=application%2Bstatus,62334,282,text/html; charset=UTF-8
http://gould.usc.edu/press/social/facebook/,65605,303,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/tours/,83780,284,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/transfer/,62350,288,text/html; charset=UTF-8
