Successfully Downloaded URL, Size of Downloaded File, Number of Outgoing Links, Content Type
http://gould.usc.edu/,85715,328,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=625,72358,333,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=degree%2Brequirements,62103,279,text/html; charset=UTF-8
http://gould.usc.edu/search/,62074,279,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/directions/,60418,282,text/html; charset=UTF-8
http://gould.usc.edu/about/aba-required-disclosures/curriculum/,64145,279,text/html; charset=UTF-8
http://gould.usc.edu/students/student-organizations/,63595,316,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/,60494,284,text/html; charset=UTF-8
http://gould.usc.edu/students/disability-student-services/,62150,281,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=dual%2Bdegrees,62116,280,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=635,72599,333,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4269,64001,282,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=505,72315,333,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=class%2Bprofile,62105,280,text/html; charset=UTF-8
http://gould.usc.edu/academics/curriculum/jd-study-abroad/,60444,279,text/html; charset=UTF-8
http://gould.usc.edu/about/visit/tours/,83872,282,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/transfer/,62146,286,text/html; charset=UTF-8
http://gould.usc.edu/about/contact/lecturers/,88253,431,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=saks%2Binstitute,62134,279,text/html; charset=UTF-8
http://gould.usc.edu/about/los-angeles/living/,60664,281,text/html; charset=UTF-8
http://gould.usc.edu/about/community/?id=515,72380,333,text/html; charset=UTF-8
http://gould.usc.edu/search/?query=library%2Bhours,62077,279,text/html; charset=UTF-8
http://gould.usc.edu/how/gip/vip/,63234,288,text/html; charset=UTF-8
http://gould.usc.edu/press/article.cfm?newsid=4260,62811,282,text/html; charset=UTF-8
